,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
18,Logistic_Regression,min,0.9,1.0,1.0,1.0,1.0,0.8901173465532838
19,Logistic_Regression,min,0.9500000000000001,1.0,0.0,0.0,0.0,0.8901173465532838
0,KNN,min,0.0,0.8452830188679246,0.7142857142857143,0.898876404494382,0.7960199004975125,0.8804640861679468
1,KNN,min,0.05,0.8531746031746031,0.7314814814814815,0.9080459770114943,0.8102564102564103,0.8804640861679468
2,KNN,min,0.1,0.8661087866108786,0.75,0.9146341463414634,0.8241758241758241,0.8804640861679468
3,KNN,min,0.15,0.8849557522123894,0.7717391304347826,0.9342105263157895,0.8452380952380952,0.8804640861679468
4,KNN,min,0.2,0.9009433962264151,0.8045977011494253,0.9459459459459459,0.8695652173913043,0.8804640861679468
5,KNN,min,0.25,0.914572864321608,0.8192771084337349,0.9714285714285714,0.8888888888888888,0.8804640861679468
6,KNN,min,0.3,0.9193548387096774,0.8375,0.9710144927536232,0.8993288590604027,0.8804640861679468
7,KNN,min,0.35000000000000003,0.9132947976878613,0.821917808219178,0.967741935483871,0.8888888888888888,0.8804640861679468
8,KNN,min,0.4,0.9308176100628931,0.8484848484848485,0.9824561403508771,0.9105691056910569,0.8804640861679468
9,KNN,min,0.45,0.9383561643835616,0.864406779661017,0.9807692307692307,0.918918918918919,0.8804640861679468
10,KNN,min,0.5,0.9398496240601504,0.8703703703703703,0.9791666666666666,0.9215686274509803,0.8804640861679468
11,KNN,min,0.55,0.9583333333333334,0.8958333333333334,1.0,0.945054945054945,0.8804640861679468
12,KNN,min,0.6,0.9622641509433962,0.9,1.0,0.9473684210526315,0.8804640861679468
13,KNN,min,0.65,0.956989247311828,0.8888888888888888,1.0,0.9411764705882353,0.8804640861679468
14,KNN,min,0.7000000000000001,0.975,0.9310344827586207,1.0,0.9642857142857143,0.8804640861679468
15,KNN,min,0.75,0.9701492537313433,0.9047619047619048,1.0,0.95,0.8804640861679468
16,KNN,min,0.8,0.9622641509433962,0.8666666666666667,1.0,0.9285714285714286,0.8804640861679468
17,KNN,min,0.85,0.95,0.8181818181818182,1.0,0.9,0.8804640861679468
18,KNN,min,0.9,0.9259259259259259,0.7777777777777778,1.0,0.875,0.8804640861679468
19,KNN,min,0.9500000000000001,0.9285714285714286,0.6666666666666666,1.0,0.8,0.8804640861679468
0,SVM_Linear,min,0.0,0.8641509433962264,0.7789473684210526,0.8314606741573034,0.8043478260869565,0.8887985987884487
1,SVM_Linear,min,0.05,0.8809523809523809,0.776595744680851,0.8902439024390244,0.8295454545454546,0.8887985987884487
2,SVM_Linear,min,0.1,0.891213389121339,0.7816091954022989,0.9066666666666666,0.8395061728395061,0.8887985987884487
3,SVM_Linear,min,0.15,0.8893805309734514,0.775,0.8985507246376812,0.8322147651006712,0.8887985987884487
4,SVM_Linear,min,0.2,0.8962264150943396,0.7763157894736842,0.921875,0.8428571428571429,0.8887985987884487
5,SVM_Linear,min,0.25,0.8994974874371859,0.7808219178082192,0.9344262295081968,0.8507462686567164,0.8887985987884487
6,SVM_Linear,min,0.3,0.9086021505376344,0.8,0.9285714285714286,0.859504132231405,0.8887985987884487
