,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
11,KNN,min,0.55,0.8098341232227488,0.5980295566502463,0.7217598097502973,0.6540948275862069,0.7575312935740022
12,KNN,min,0.6,0.81406197934022,0.6072572038420491,0.7496706192358367,0.6709905660377359,0.7575312935740022
13,KNN,min,0.65,0.8168316831683168,0.6192714453584018,0.77046783625731,0.6866449511400652,0.7575312935740022
14,KNN,min,0.7000000000000001,0.8205242114615726,0.6431372549019608,0.7897271268057785,0.7089337175792507,0.7575312935740022
15,KNN,min,0.75,0.8256929637526652,0.662704309063893,0.8168498168498168,0.7317473338802297,0.7575312935740022
16,KNN,min,0.8,0.8281145902731513,0.6795774647887324,0.8354978354978355,0.7495145631067961,0.7575312935740022
17,KNN,min,0.85,0.8383658969804618,0.7018348623853211,0.8547486033519553,0.7707808564231738,0.7575312935740022
18,KNN,min,0.9,0.8468708388814914,0.7207792207792207,0.8844621513944223,0.7942754919499105,0.7575312935740022
19,KNN,min,0.9500000000000001,0.8563829787234043,0.7361111111111112,0.8688524590163934,0.7969924812030075,0.7575312935740022
0,SVM_Linear,min,0.0,0.2217037728302893,0.22128851540616246,1.0,0.3623853211009174,0.26556583575151166
1,SVM_Linear,min,0.05,0.22649452708391804,0.2263859649122807,1.0,0.36919203479056995,0.26556583575151166
2,SVM_Linear,min,0.1,0.23107687749962968,0.23096296296296295,1.0,0.37525574678059936,0.26556583575151166
3,SVM_Linear,min,0.15,0.2371392722710163,0.23701960784313725,1.0,0.3832107532335785,0.26556583575151166
4,SVM_Linear,min,0.2,0.24312614564239293,0.243,1.0,0.3909895414320193,0.26556583575151166
5,SVM_Linear,min,0.25,0.24973338073231424,0.2496,1.0,0.3994878361075544,0.26556583575151166
6,SVM_Linear,min,0.3,0.25461816796800607,0.25447619047619047,1.0,0.4057090798663832,0.26556583575151166
7,SVM_Linear,min,0.35000000000000003,0.26189499589827725,0.26174358974358974,1.0,0.4148918874979678,0.26556583575151166
8,SVM_Linear,min,0.4,0.267940457676072,0.2677777777777778,1.0,0.4224364592462752,0.26556583575151166
9,SVM_Linear,min,0.45,0.27120698012603006,0.271030303030303,1.0,0.426473393095556,0.26556583575151166
10,SVM_Linear,min,0.5,0.2809917355371901,0.2808,1.0,0.438475952529669,0.26556583575151166
11,SVM_Linear,min,0.55,0.2846563981042654,0.28444444444444444,1.0,0.4429065743944637,0.26556583575151166
12,SVM_Linear,min,0.6,0.29290236587804064,0.2926666666666667,1.0,0.4528107271789582,0.26556583575151166
13,SVM_Linear,min,0.65,0.30121858339680124,0.30095238095238097,1.0,0.46266471449487556,0.26556583575151166
14,SVM_Linear,min,0.7000000000000001,0.3118613949355842,0.31155555555555553,1.0,0.4750931887495764,0.26556583575151166
15,SVM_Linear,min,0.75,0.32036247334754797,0.32,1.0,0.48484848484848486,0.26556583575151166
16,SVM_Linear,min,0.8,0.3264490339773484,0.326,1.0,0.4917043740573152,0.26556583575151166
17,SVM_Linear,min,0.85,0.3330373001776199,0.33244444444444443,1.0,0.4989993328885924,0.26556583575151166
18,SVM_Linear,min,0.9,0.32756324900133155,0.32666666666666666,1.0,0.49246231155778897,0.26556583575151166
19,SVM_Linear,min,0.9500000000000001,0.35638297872340424,0.3546666666666667,1.0,0.5236220472440944,0.26556583575151166
0,SVM_Polynomial,min,0.0,0.22130382615651248,0.2212,1.0,0.3622666229937766,0.3127803678964708
1,SVM_Polynomial,min,0.05,0.22775750771821499,0.22764912280701755,1.0,0.37087001257574026,0.3127803678964708
2,SVM_Polynomial,min,0.1,0.23433565397718856,0.23422222222222222,1.0,0.3795462729564278,0.3127803678964708
3,SVM_Polynomial,min,0.15,0.23792346298619824,0.23780392156862745,1.0,0.3842352046635407,0.3127803678964708
4,SVM_Polynomial,min,0.2,0.24612564572571238,0.246,1.0,0.39486356340288925,0.3127803678964708
5,SVM_Polynomial,min,0.25,0.25417703519374335,0.25404444444444446,1.0,0.40516019279841226,0.3127803678964708
6,SVM_Polynomial,min,0.3,0.2591887259569606,0.259047619047619,1.0,0.4114977307110439,0.3127803678964708
7,SVM_Polynomial,min,0.35000000000000003,0.2664068908941756,0.2662564102564103,1.0,0.42054106593228574,0.3127803678964708
8,SVM_Polynomial,min,0.4,0.2748278160408798,0.27466666666666667,1.0,0.4309623430962343,0.3127803678964708
9,SVM_Polynomial,min,0.45,0.282355792535143,0.2821818181818182,1.0,0.4401588201928531,0.3127803678964708
10,SVM_Polynomial,min,0.5,0.2911223673687017,0.2909333333333333,1.0,0.45073331956207396,0.3127803678964708
11,SVM_Polynomial,min,0.55,0.30479857819905215,0.3045925925925926,1.0,0.46695434930729046,0.3127803678964708
12,SVM_Polynomial,min,0.6,0.32155948017327557,0.32133333333333336,1.0,0.4863773965691221,0.3127803678964708
13,SVM_Polynomial,min,0.65,0.3434881949733435,0.34323809523809523,1.0,0.5110606920022689,0.3127803678964708
14,SVM_Polynomial,min,0.7000000000000001,0.3682807641048423,0.368,1.0,0.5380116959064327,0.3127803678964708
15,SVM_Polynomial,min,0.75,0.39498933901918976,0.39466666666666667,1.0,0.5659655831739961,0.3127803678964708
16,SVM_Polynomial,min,0.8,0.43704197201865425,0.43666666666666665,1.0,0.6078886310904872,0.3127803678964708
17,SVM_Polynomial,min,0.85,0.4955595026642984,0.4951111111111111,1.0,0.6623067776456599,0.3127803678964708
18,SVM_Polynomial,min,0.9,0.5725699067909454,0.572,1.0,0.727735368956743,0.3127803678964708
19,SVM_Polynomial,min,0.9500000000000001,0.6648936170212766,0.664,1.0,0.7980769230769231,0.3127803678964708
0,SVM_RBF,min,0.0,0.43847487001733104,0.2576419213973799,0.8179626280892104,0.39185677158533067,0.4319723507479918
1,SVM_RBF,min,0.05,0.431237721021611,0.2622854914196568,0.8328173374613003,0.3989322260121608,0.4319723507479918
2,SVM_RBF,min,0.1,0.42882535920604353,0.266991276120917,0.8441308531109686,0.40567200986436497,0.4319723507479918
3,SVM_RBF,min,0.15,0.4275407779171895,0.2719745222929936,0.8528628495339547,0.4124275595621378,0.4319723507479918
4,SVM_RBF,min,0.2,0.4267622062989502,0.27661469933184857,0.8661087866108786,0.41931127616475355,0.4319723507479918
5,SVM_RBF,min,0.25,0.42747955918947744,0.28258823529411764,0.8747268754552076,0.42717410634892405,0.4319723507479918
6,SVM_RBF,min,0.3,0.4275376118834508,0.2896242846479224,0.8851711026615969,0.4364454443194601,0.4319723507479918
7,SVM_RBF,min,0.35000000000000003,0.4224774405250205,0.29430296665791544,0.8975180144115292,0.4432582048240411,0.4319723507479918
8,SVM_RBF,min,0.4,0.4207953788047101,0.30204539086578874,0.9028475711892797,0.45265588914549654,0.4319723507479918
9,SVM_RBF,min,0.45,0.4209888511875909,0.3118409159385357,0.9078947368421053,0.46422964790311727,0.4319723507479918
10,SVM_RBF,min,0.5,0.4238869634764063,0.3230970271153218,0.9174397031539888,0.4778932109205122,0.4319723507479918
11,SVM_RBF,min,0.55,0.43009478672985785,0.3354931605471562,0.9227722772277228,0.49208025343189016,0.4319723507479918
12,SVM_RBF,min,0.6,0.43418860379873375,0.3489852765618782,0.933972310969116,0.5081112398609502,0.4319723507479918
13,SVM_RBF,min,0.65,0.4497334348819497,0.36944696282864914,0.9378596087456847,0.5300813008130081,0.4319723507479918
14,SVM_RBF,min,0.7000000000000001,0.46423811639271434,0.38956246705324193,0.9390088945362135,0.5506706408345753,0.4319723507479918
15,SVM_RBF,min,0.75,0.47814498933901917,0.4138145612943373,0.9472934472934473,0.5760069294066695,0.4319723507479918
