,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
49,median,0.2,0.25,0.8176970504915847,0.582832618025751,0.5275835275835276,0.5538336052202284,0.7499388805894155
50,median,0.2,0.5,0.8200299950008332,0.5851851851851851,0.5524475524475524,0.5683453237410072,0.7499388805894155
51,median,0.2,0.75,0.8200299950008332,0.5851851851851851,0.5524475524475524,0.5683453237410072,0.7499388805894155
52,median,0.3,0.0,0.7722338602171015,0.46594274432379074,0.41881100266193433,0.4411214953271028,0.7499388805894155
53,median,0.3,0.25,0.8343172729003999,0.6276067527308838,0.5607808340727596,0.5923149015932521,0.7499388805894155
54,median,0.3,0.5,0.835650352313845,0.6257142857142857,0.582963620230701,0.6035829122645843,0.7499388805894155
55,median,0.3,0.75,0.835650352313845,0.6257142857142857,0.582963620230701,0.6035829122645843,0.7499388805894155
56,median,0.4,0.0,0.7831592979337925,0.484393063583815,0.44151738672286617,0.4619625137816979,0.7499388805894155
57,median,0.4,0.25,0.8487002888247056,0.6515837104072398,0.60695468914647,0.6284779050736498,0.7499388805894155
58,median,0.4,0.5,0.8491446345256609,0.6483516483516484,0.6217070600632244,0.6347498655190963,0.7499388805894155
59,median,0.4,0.75,0.8491446345256609,0.6483516483516484,0.6217070600632244,0.6347498655190963,0.7499388805894155
60,median,0.5,0.0,0.7893894961343642,0.5067567567567568,0.46875,0.487012987012987,0.7499388805894155
61,median,0.5,0.25,0.8587043455078646,0.6781002638522428,0.6425,0.6598202824133504,0.7499388805894155
62,median,0.5,0.5,0.8584377499333511,0.6744487678339819,0.65,0.6619987269255252,0.7499388805894155
63,median,0.5,0.75,0.8584377499333511,0.6744487678339819,0.65,0.6619987269255252,0.7499388805894155
64,median,0.6,0.0,0.797400866377874,0.5406698564593302,0.5144157814871017,0.5272161741835147,0.7499388805894155
65,median,0.6,0.25,0.870376541152949,0.7083333333333334,0.6965098634294385,0.7023718439173681,0.7499388805894155
