,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
66,median,0.6,0.5,0.9528301886792453,0.84,0.9545454545454546,0.8936170212765957,0.8561990936028766
67,median,0.6,0.75,0.9528301886792453,0.84,0.9545454545454546,0.8936170212765957,0.8561990936028766
68,median,0.7000000000000001,0.0,0.975,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8561990936028766
69,median,0.7000000000000001,0.25,0.975,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8561990936028766
70,median,0.7000000000000001,0.5,0.975,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8561990936028766
71,median,0.7000000000000001,0.75,0.975,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8561990936028766
72,median,0.8,0.0,1.0,1.0,1.0,1.0,0.8561990936028766
73,median,0.8,0.25,1.0,1.0,1.0,1.0,0.8561990936028766
74,median,0.8,0.5,1.0,1.0,1.0,1.0,0.8561990936028766
75,median,0.8,0.75,1.0,1.0,1.0,1.0,0.8561990936028766
76,median,0.9,0.0,1.0,1.0,1.0,1.0,0.8561990936028766
77,median,0.9,0.25,1.0,1.0,1.0,1.0,0.8561990936028766
78,median,0.9,0.5,1.0,1.0,1.0,1.0,0.8561990936028766
79,median,0.9,0.75,1.0,1.0,1.0,1.0,0.8561990936028766
80,min,0.0,0.0,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8553304302892369
81,min,0.0,0.25,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8553304302892369
82,min,0.0,0.5,0.8830188679245283,0.7959183673469388,0.8764044943820225,0.8342245989304813,0.8553304302892369
83,min,0.0,0.75,0.8943396226415095,0.8279569892473119,0.8651685393258427,0.8461538461538461,0.8553304302892369
84,min,0.1,0.0,0.891213389121339,0.8,0.9,0.8470588235294118,0.8553304302892369
85,min,0.1,0.25,0.891213389121339,0.8,0.9,0.8470588235294118,0.8553304302892369
86,min,0.1,0.5,0.891213389121339,0.8,0.9,0.8470588235294118,0.8553304302892369
87,min,0.1,0.75,0.899581589958159,0.8181818181818182,0.9,0.8571428571428571,0.8553304302892369
88,min,0.2,0.0,0.9198113207547169,0.8395061728395061,0.9444444444444444,0.8888888888888888,0.8553304302892369
89,min,0.2,0.25,0.9198113207547169,0.8395061728395061,0.9444444444444444,0.8888888888888888,0.8553304302892369
90,min,0.2,0.5,0.9198113207547169,0.8395061728395061,0.9444444444444444,0.8888888888888888,0.8553304302892369
91,min,0.2,0.75,0.9292452830188679,0.8607594936708861,0.9444444444444444,0.9006622516556292,0.8553304302892369
92,min,0.3,0.0,0.9408602150537635,0.8656716417910447,0.9666666666666667,0.9133858267716536,0.8553304302892369
93,min,0.3,0.25,0.9408602150537635,0.8656716417910447,0.9666666666666667,0.9133858267716536,0.8553304302892369
94,min,0.3,0.5,0.9408602150537635,0.8656716417910447,0.9666666666666667,0.9133858267716536,0.8553304302892369
