,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
94,min,0.3,0.5,0.8655913978494624,0.7428571428571429,0.8813559322033898,0.8062015503875969,0.7931042450877495
95,min,0.3,0.75,0.8655913978494624,0.7428571428571429,0.8813559322033898,0.8062015503875969,0.7931042450877495
96,min,0.4,0.0,0.8364779874213837,0.7288135593220338,0.8113207547169812,0.7678571428571429,0.7931042450877495
97,min,0.4,0.25,0.8805031446540881,0.7741935483870968,0.9056603773584906,0.8347826086956521,0.7931042450877495
98,min,0.4,0.5,0.8867924528301887,0.7868852459016393,0.9056603773584906,0.8421052631578947,0.7931042450877495
99,min,0.4,0.75,0.8867924528301887,0.7868852459016393,0.9056603773584906,0.8421052631578947,0.7931042450877495
100,min,0.5,0.0,0.849624060150376,0.7254901960784313,0.8604651162790697,0.7872340425531915,0.7931042450877495
101,min,0.5,0.25,0.8872180451127819,0.78,0.9069767441860465,0.8387096774193549,0.7931042450877495
102,min,0.5,0.5,0.8872180451127819,0.7916666666666666,0.8837209302325582,0.8351648351648352,0.7931042450877495
103,min,0.5,0.75,0.8872180451127819,0.7916666666666666,0.8837209302325582,0.8351648351648352,0.7931042450877495
104,min,0.6,0.0,0.8773584905660378,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.7931042450877495
105,min,0.6,0.25,0.8962264150943396,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.7931042450877495
106,min,0.6,0.5,0.9056603773584906,0.8108108108108109,0.9090909090909091,0.8571428571428571,0.7931042450877495
107,min,0.6,0.75,0.9056603773584906,0.8108108108108109,0.9090909090909091,0.8571428571428571,0.7931042450877495
108,min,0.7000000000000001,0.0,0.8875,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.7931042450877495
109,min,0.7000000000000001,0.25,0.8875,0.7931034482758621,0.8846153846153846,0.8363636363636363,0.7931042450877495
110,min,0.7000000000000001,0.5,0.9,0.8214285714285714,0.8846153846153846,0.8518518518518519,0.7931042450877495
111,min,0.7000000000000001,0.75,0.9,0.8214285714285714,0.8846153846153846,0.8518518518518519,0.7931042450877495
112,min,0.8,0.0,0.9245283018867925,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7931042450877495
113,min,0.8,0.25,0.9433962264150944,0.9375,0.8823529411764706,0.9090909090909091,0.7931042450877495
114,min,0.8,0.5,0.9245283018867925,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7931042450877495
115,min,0.8,0.75,0.9245283018867925,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7931042450877495
116,min,0.9,0.0,0.9259259259259259,1.0,0.8,0.8888888888888888,0.7931042450877495
117,min,0.9,0.25,0.9259259259259259,1.0,0.8,0.8888888888888888,0.7931042450877495
118,min,0.9,0.5,0.9259259259259259,1.0,0.8,0.8888888888888888,0.7931042450877495
119,min,0.9,0.75,0.9259259259259259,1.0,0.8,0.8888888888888888,0.7931042450877495
120,max,0.0,0.0,0.8301886792452831,0.7156862745098039,0.8202247191011236,0.7643979057591623,0.8402347365787788
121,max,0.0,0.25,0.8641509433962264,0.7623762376237624,0.8651685393258427,0.8105263157894737,0.8402347365787788
122,max,0.0,0.5,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8402347365787788
123,max,0.0,0.75,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8402347365787788
124,max,0.1,0.0,0.8493723849372385,0.7303370786516854,0.8441558441558441,0.7831325301204819,0.8402347365787788
125,max,0.1,0.25,0.8870292887029289,0.7777777777777778,0.9090909090909091,0.8383233532934131,0.8402347365787788
126,max,0.1,0.5,0.8870292887029289,0.7717391304347826,0.922077922077922,0.8402366863905325,0.8402347365787788
127,max,0.1,0.75,0.8870292887029289,0.7717391304347826,0.922077922077922,0.8402366863905325,0.8402347365787788
128,max,0.2,0.0,0.8679245283018868,0.7692307692307693,0.8571428571428571,0.8108108108108109,0.8402347365787788
129,max,0.2,0.25,0.9150943396226415,0.825,0.9428571428571428,0.88,0.8402347365787788
130,max,0.2,0.5,0.910377358490566,0.8148148148148148,0.9428571428571428,0.8741721854304636,0.8402347365787788
131,max,0.2,0.75,0.910377358490566,0.8148148148148148,0.9428571428571428,0.8741721854304636,0.8402347365787788
132,max,0.3,0.0,0.8870967741935484,0.8125,0.8524590163934426,0.832,0.8402347365787788
133,max,0.3,0.25,0.9247311827956989,0.8309859154929577,0.9672131147540983,0.8939393939393939,0.8402347365787788
134,max,0.3,0.5,0.9301075268817204,0.8428571428571429,0.9672131147540983,0.9007633587786259,0.8402347365787788
135,max,0.3,0.75,0.9301075268817204,0.8428571428571429,0.9672131147540983,0.9007633587786259,0.8402347365787788
136,max,0.4,0.0,0.89937106918239,0.8076923076923077,0.875,0.84,0.8402347365787788
137,max,0.4,0.25,0.9308176100628931,0.8245614035087719,0.9791666666666666,0.8952380952380953,0.8402347365787788
138,max,0.4,0.5,0.9371069182389937,0.8392857142857143,0.9791666666666666,0.9038461538461539,0.8402347365787788
139,max,0.4,0.75,0.9371069182389937,0.8392857142857143,0.9791666666666666,0.9038461538461539,0.8402347365787788
140,max,0.5,0.0,0.9097744360902256,0.8372093023255814,0.8780487804878049,0.8571428571428571,0.8402347365787788
141,max,0.5,0.25,0.9398496240601504,0.851063829787234,0.975609756097561,0.9090909090909091,0.8402347365787788
142,max,0.5,0.5,0.9398496240601504,0.851063829787234,0.975609756097561,0.9090909090909091,0.8402347365787788
