,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
70,median,0.7000000000000001,0.5,0.9173700577521102,0.7391304347826086,0.2956521739130435,0.422360248447205,0.7908048038093249
71,median,0.7000000000000001,0.75,0.9173700577521102,0.7391304347826086,0.2956521739130435,0.422360248447205,0.7908048038093249
72,median,0.8,0.0,0.9267155229846769,0.8157894736842105,0.23134328358208955,0.36046511627906974,0.7908048038093249
73,median,0.8,0.25,0.9267155229846769,0.8157894736842105,0.23134328358208955,0.36046511627906974,0.7908048038093249
74,median,0.8,0.5,0.9267155229846769,0.8157894736842105,0.23134328358208955,0.36046511627906974,0.7908048038093249
75,median,0.8,0.75,0.9267155229846769,0.8157894736842105,0.23134328358208955,0.36046511627906974,0.7908048038093249
76,median,0.9,0.0,0.9374167776298269,0.6666666666666666,0.08163265306122448,0.14545454545454545,0.7908048038093249
77,median,0.9,0.25,0.9374167776298269,0.6666666666666666,0.08163265306122448,0.14545454545454545,0.7908048038093249
78,median,0.9,0.5,0.9374167776298269,0.6666666666666666,0.08163265306122448,0.14545454545454545,0.7908048038093249
79,median,0.9,0.75,0.9374167776298269,0.6666666666666666,0.08163265306122448,0.14545454545454545,0.7908048038093249
80,min,0.0,0.0,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.6569891111249873
81,min,0.0,0.25,0.7940274630049327,0.537598944591029,0.4912597950572634,0.5133858267716536,0.6569891111249873
82,min,0.0,0.5,0.8141581122516998,0.615923009623797,0.4243520192887282,0.502498215560314,0.6569891111249873
83,min,0.0,0.75,0.8068257565657913,0.5844051446945338,0.4382157926461724,0.5008611780916293,0.6569891111249873
84,min,0.1,0.0,0.7690712487038958,0.5126811594202898,0.5302935665209244,0.5213386552041757,0.6569891111249873
85,min,0.1,0.25,0.7798844615612501,0.5380542686962276,0.5078076202373517,0.5224935732647815,0.6569891111249873
86,min,0.1,0.5,0.8021033920900608,0.615923009623797,0.4397251717676452,0.5131195335276968,0.6569891111249873
87,min,0.1,0.75,0.7939564508961635,0.5844051446945338,0.4540911930043723,0.5110720562390159,0.6569891111249873
88,min,0.2,0.0,0.7548741876353942,0.5164835164835165,0.5547540983606557,0.5349351881125514,0.6569891111249873
89,min,0.2,0.25,0.7655390768205299,0.5391246684350133,0.5331147540983606,0.5361028684470821,0.6569891111249873
90,min,0.2,0.5,0.7900349941676388,0.615923009623797,0.4616393442622951,0.527736131934033,0.6569891111249873
91,min,0.2,0.75,0.7810364939176804,0.584875301689461,0.47672131147540986,0.5252890173410405,0.6569891111249873
92,min,0.3,0.0,0.7390973147971814,0.5202492211838006,0.5818815331010453,0.5493421052631579,0.6569891111249873
93,min,0.3,0.25,0.7503332698533612,0.5416666666666666,0.5616724738675958,0.5514881970578173,0.6569891111249873
94,min,0.3,0.5,0.7769948581222624,0.6161971830985915,0.4878048780487805,0.544535200311163,0.6569891111249873
95,min,0.3,0.75,0.7669015425633213,0.5854251012145749,0.5038327526132405,0.5415730337078651,0.6569891111249873
96,min,0.4,0.0,0.7260608753610309,0.5300970873786408,0.6176470588235294,0.5705329153605015,0.6569891111249873
97,min,0.4,0.25,0.7373916907353921,0.5496551724137931,0.6010558069381599,0.5742074927953891,0.6569891111249873
98,min,0.4,0.5,0.7640524327927127,0.6164021164021164,0.5271493212669683,0.5682926829268292,0.6569891111249873
99,min,0.4,0.75,0.7522772717173961,0.5858421480878763,0.5429864253393665,0.5636007827788649,0.6569891111249873
100,min,0.5,0.0,0.7078112503332444,0.5369623655913979,0.6625207296849088,0.593170007423905,0.6569891111249873
101,min,0.5,0.25,0.718475073313783,0.5527426160337553,0.6517412935323383,0.5981735159817352,0.6569891111249873
102,min,0.5,0.5,0.7480671820847774,0.616206589492431,0.5737976782752903,0.5942464577071704,0.6569891111249873
103,min,0.5,0.75,0.7339376166355639,0.5853858784893268,0.5912106135986733,0.5882838283828383,0.6569891111249873
104,min,0.6,0.0,0.6961012995668111,0.5560375994215474,0.7207122774133083,0.6277551020408163,0.6569891111249873
105,min,0.6,0.25,0.7017660779740087,0.5634218289085545,0.7160262417994376,0.6306231943871234,0.6569891111249873
106,min,0.6,0.5,0.7310896367877374,0.6179673321234119,0.6382380506091846,0.627939142461964,0.6569891111249873
107,min,0.6,0.75,0.7160946351216261,0.5904121110176619,0.6579194001874414,0.6223404255319149,0.6569891111249873
108,min,0.7000000000000001,0.0,0.6721457130164371,0.5739549839228296,0.7744034707158352,0.6592797783933518,0.6569891111249873
109,min,0.7000000000000001,0.25,0.6739227010217681,0.5756843800322061,0.7754880694143167,0.6608133086876156,0.6569891111249873
110,min,0.7000000000000001,0.5,0.6996890270990671,0.617816091954023,0.6995661605206074,0.6561546286876907,0.6569891111249873
111,min,0.7000000000000001,0.75,0.6890270990670813,0.5985790408525755,0.7310195227765727,0.658203125,0.6569891111249873
112,min,0.8,0.0,0.654230512991339,0.6017699115044248,0.8429752066115702,0.7022375215146299,0.6569891111249873
113,min,0.8,0.25,0.654230512991339,0.6017699115044248,0.8429752066115702,0.7022375215146299,0.6569891111249873
114,min,0.8,0.5,0.670219853431046,0.6240601503759399,0.800275482093664,0.7012673506336753,0.6569891111249873
115,min,0.8,0.75,0.6675549633577615,0.6159346271705822,0.8305785123966942,0.7073313782991202,0.6569891111249873
116,min,0.9,0.0,0.6484687083888149,0.6393700787401575,0.9206349206349206,0.7546468401486989,0.6569891111249873
117,min,0.9,0.25,0.6484687083888149,0.6393700787401575,0.9206349206349206,0.7546468401486989,0.6569891111249873
118,min,0.9,0.5,0.6498002663115846,0.639937106918239,0.9229024943310657,0.755803156917363,0.6569891111249873
119,min,0.9,0.75,0.6458055925432756,0.6365054602184087,0.9251700680272109,0.7541589648798521,0.6569891111249873
120,max,0.0,0.0,0.7836288494867351,0.5107913669064749,0.5135623869801085,0.5121731289449954,0.7804612216710848
121,max,0.0,0.25,0.7940274630049327,0.537598944591029,0.4912597950572634,0.5133858267716536,0.7804612216710848
122,max,0.0,0.5,0.8141581122516998,0.615923009623797,0.4243520192887282,0.502498215560314,0.7804612216710848
123,max,0.0,0.75,0.8068257565657913,0.5844051446945338,0.4382157926461724,0.5008611780916293,0.7804612216710848
124,max,0.1,0.0,0.8031402755147385,0.5091819699499165,0.4515173945225759,0.47861906630051,0.7804612216710848
