,Rejection Rate,BM Selection Threshold,Method,Accuracy,Precision,Recall,F1-Score,AU-ARC
26,0.6,0.5,avg,0.9939320388349514,0.8137254901960784,0.9325842696629213,0.8691099476439791,0.8766480008974288
27,0.6,0.75,avg,0.9939320388349514,0.8137254901960784,0.9325842696629213,0.8691099476439791,0.8766480008974288
28,0.7000000000000001,0.0,avg,0.9922330097087378,0.8217821782178217,0.9325842696629213,0.8736842105263158,0.8766480008974288
29,0.7000000000000001,0.25,avg,0.9922330097087378,0.8217821782178217,0.9325842696629213,0.8736842105263158,0.8766480008974288
30,0.7000000000000001,0.5,avg,0.9922330097087378,0.8217821782178217,0.9325842696629213,0.8736842105263158,0.8766480008974288
31,0.7000000000000001,0.75,avg,0.9922330097087378,0.8217821782178217,0.9325842696629213,0.8736842105263158,0.8766480008974288
32,0.8,0.0,avg,0.9883495145631068,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.8766480008974288
33,0.8,0.25,avg,0.9883495145631068,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.8766480008974288
34,0.8,0.5,avg,0.9883495145631068,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.8766480008974288
35,0.8,0.75,avg,0.9883495145631068,0.8163265306122449,0.9302325581395349,0.8695652173913043,0.8766480008974288
36,0.9,0.0,avg,0.9776699029126213,0.8105263157894737,0.9390243902439024,0.8700564971751412,0.8766480008974288
37,0.9,0.25,avg,0.9776699029126213,0.8105263157894737,0.9390243902439024,0.8700564971751412,0.8766480008974288
38,0.9,0.5,avg,0.9776699029126213,0.8105263157894737,0.9390243902439024,0.8700564971751412,0.8766480008974288
39,0.9,0.75,avg,0.9776699029126213,0.8105263157894737,0.9390243902439024,0.8700564971751412,0.8766480008974288
40,0.0,0.0,median,0.8976500291318703,0.533974358974359,0.718103448275862,0.6125,0.8537945955779443
41,0.0,0.25,median,0.9030879782482035,0.56,0.6517241379310345,0.602390438247012,0.8537945955779443
42,0.0,0.5,median,0.9005632161584773,0.5524691358024691,0.6172413793103448,0.5830618892508144,0.8537945955779443
43,0.0,0.75,median,0.9000776849873762,0.5509727626459144,0.6103448275862069,0.5791411042944785,0.8537945955779443
44,0.1,0.0,median,0.9358075304779372,0.5810185185185185,0.6829931972789116,0.6278924327704816,0.8537945955779443
45,0.1,0.25,median,0.9356996439745388,0.5785310734463277,0.6965986394557823,0.6320987654320988,0.8537945955779443
46,0.1,0.5,median,0.9348365519473514,0.5731843575418994,0.6979591836734694,0.6294478527607362,0.8537945955779443
47,0.1,0.75,median,0.9347286654439529,0.5719026548672567,0.7034013605442176,0.6308724832214765,0.8537945955779443
48,0.2,0.0,median,0.9622527005704575,0.6216216216216216,0.6985981308411215,0.6578657865786579,0.8537945955779443
49,0.2,0.25,median,0.9623740745236072,0.6199186991869918,0.7126168224299065,0.6630434782608695,0.8537945955779443
50,0.2,0.5,median,0.9623740745236072,0.6199186991869918,0.7126168224299065,0.6630434782608695,0.8537945955779443
51,0.2,0.75,median,0.9623740745236072,0.6199186991869918,0.7126168224299065,0.6630434782608695,0.8537945955779443
52,0.3,0.0,median,0.9764183659314746,0.6619217081850534,0.7126436781609196,0.6863468634686347,0.8537945955779443
53,0.3,0.25,median,0.9764183659314746,0.6607773851590106,0.7164750957854407,0.6875,0.8537945955779443
54,0.3,0.5,median,0.9764183659314746,0.6607773851590106,0.7164750957854407,0.6875,0.8537945955779443
55,0.3,0.75,median,0.9764183659314746,0.6607773851590106,0.7164750957854407,0.6875,0.8537945955779443
56,0.4,0.0,median,0.9726492960025894,0.6570397111913358,0.7109375,0.6829268292682927,0.8537945955779443
57,0.4,0.25,median,0.9726492960025894,0.6559139784946236,0.71484375,0.6841121495327103,0.8537945955779443
58,0.4,0.5,median,0.9726492960025894,0.6559139784946236,0.71484375,0.6841121495327103,0.8537945955779443
59,0.4,0.75,median,0.9726492960025894,0.6559139784946236,0.71484375,0.6841121495327103,0.8537945955779443
60,0.5,0.0,median,0.9679549427073219,0.6618181818181819,0.7165354330708661,0.6880907372400756,0.8537945955779443
61,0.5,0.25,median,0.9679549427073219,0.6606498194945848,0.7204724409448819,0.6892655367231638,0.8537945955779443
62,0.5,0.5,median,0.9679549427073219,0.6606498194945848,0.7204724409448819,0.6892655367231638,0.8537945955779443
63,0.5,0.75,median,0.9679549427073219,0.6606498194945848,0.7204724409448819,0.6892655367231638,0.8537945955779443
64,0.6,0.0,median,0.9611650485436893,0.6618181818181819,0.7309236947791165,0.6946564885496184,0.8537945955779443
65,0.6,0.25,median,0.9611650485436893,0.6606498194945848,0.7349397590361446,0.6958174904942965,0.8537945955779443
