,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
69,median,0.7000000000000001,0.25,1.0,1.0,1.0,1.0,0.8978353371833614
70,median,0.7000000000000001,0.5,1.0,1.0,1.0,1.0,0.8978353371833614
71,median,0.7000000000000001,0.75,1.0,1.0,1.0,1.0,0.8978353371833614
72,median,0.8,0.0,0.9996582365003418,0.9982517482517482,0.9994353472614342,0.9988341815762195,0.8978353371833614
73,median,0.8,0.25,1.0,1.0,1.0,1.0,0.8978353371833614
74,median,0.8,0.5,1.0,1.0,1.0,1.0,0.8978353371833614
75,median,0.8,0.75,1.0,1.0,1.0,1.0,0.8978353371833614
76,median,0.9,0.0,1.0,1.0,1.0,1.0,0.8978353371833614
77,median,0.9,0.25,1.0,1.0,1.0,1.0,0.8978353371833614
78,median,0.9,0.5,1.0,1.0,1.0,1.0,0.8978353371833614
79,median,0.9,0.75,1.0,1.0,1.0,1.0,0.8978353371833614
80,min,0.0,0.0,0.9537904162963976,0.9609804612812908,0.9537916718741241,0.9554507870069205,0.8931700145152193
81,min,0.0,0.25,0.9951466265636749,0.9951501536816116,0.9951469068731753,0.9951462274204068,0.8931700145152193
82,min,0.0,0.5,0.9950099118189897,0.9950142580774078,0.9950102014733119,0.9950094924382769,0.8931700145152193
83,min,0.0,0.75,0.9950099118189897,0.9950154799106762,0.9950102014733119,0.9950098500615536,0.8931700145152193
84,min,0.1,0.0,0.9842029315713526,0.9840551546424703,0.9840132473393992,0.9840026158624346,0.8931700145152193
85,min,0.1,0.25,0.9955950482266271,0.9955688982931783,0.9955534274946721,0.9955587088863972,0.8931700145152193
86,min,0.1,0.5,0.9955950482266271,0.9955758391801747,0.995556483295217,0.995563151437809,0.8931700145152193
87,min,0.1,0.75,0.9955191007822587,0.9955001234945526,0.9954776375962499,0.9954857184892654,0.8931700145152193
88,min,0.2,0.0,0.9846206425153794,0.9844183184689861,0.9844166177080264,0.9843882835081753,0.8931700145152193
89,min,0.2,0.25,0.995727956254272,0.9956977871570406,0.9956861962561039,0.9956894815483813,0.8931700145152193
90,min,0.2,0.5,0.995727956254272,0.9956996087099234,0.9956916395909204,0.9956920093309997,0.8931700145152193
91,min,0.2,0.75,0.9956425153793574,0.9956126361756766,0.9956017196196949,0.9956035655393191,0.8931700145152193
92,min,0.3,0.0,0.9837906454447808,0.9835279956552738,0.9836240756353303,0.9835393401869407,0.8931700145152193
93,min,0.3,0.25,0.9955082511473489,0.9954804418584806,0.9954860461709546,0.9954801638306239,0.8931700145152193
