,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
19,SGD,min,0.9500000000000001,0.9814814814814815,0.9137931034482759,0.9636363636363636,0.9380530973451328,0.8637003191005048
0,Logistic_Regression,min,0.0,0.8249801113762928,0.7318900915903414,0.46830047948854553,0.571150097465887,0.8851028075993799
1,Logistic_Regression,min,0.05,0.8413119330076761,0.7666015625,0.46642899584076053,0.5799778352419652,0.8851028075993799
2,Logistic_Regression,min,0.1,0.8584266352386565,0.8128587830080367,0.4701195219123506,0.5957088767353808,0.8851028075993799
3,Logistic_Regression,min,0.15,0.8745905474964905,0.844319775596073,0.4648648648648649,0.599601593625498,0.8851028075993799
4,Logistic_Regression,min,0.2,0.8871395425919788,0.8627450980392157,0.4693333333333333,0.6079447322970639,0.8851028075993799
5,Logistic_Regression,min,0.25,0.9013611454834718,0.8844036697247707,0.49334698055271237,0.633377135348226,0.8851028075993799
6,Logistic_Regression,min,0.3,0.9125,0.9071729957805907,0.5070754716981132,0.6505295007564297,0.8851028075993799
7,Logistic_Regression,min,0.35000000000000003,0.923924128084846,0.9296116504854369,0.5268225584594223,0.6725197541703248,0.8851028075993799
8,Logistic_Regression,min,0.4,0.933716305788776,0.9387186629526463,0.5479674796747968,0.6919917864476386,0.8851028075993799
9,Logistic_Regression,min,0.45,0.9419137141479874,0.949685534591195,0.573055028462998,0.714792899408284,0.8851028075993799
10,Logistic_Regression,min,0.5,0.945372580217449,0.9515570934256056,0.588865096359743,0.7275132275132276,0.8851028075993799
11,Logistic_Regression,min,0.55,0.9513847967000589,0.9683794466403162,0.6094527363184079,0.7480916030534351,0.8851028075993799
12,Logistic_Regression,min,0.6,0.9588995691083858,0.9819004524886877,0.6439169139465876,0.7777777777777778,0.8851028075993799
13,Logistic_Regression,min,0.65,0.9643939393939394,0.9844559585492227,0.6761565836298933,0.8016877637130801,0.8851028075993799
14,Logistic_Regression,min,0.7000000000000001,0.9681838267786125,0.9881656804733728,0.7046413502109705,0.8226600985221675,0.8851028075993799
15,Logistic_Regression,min,0.75,0.9708377518557795,0.9863013698630136,0.7309644670050761,0.8396501457725948,0.8851028075993799
16,Logistic_Regression,min,0.8,0.9768058316766071,0.9848484848484849,0.7975460122699386,0.8813559322033898,0.8851028075993799
17,Logistic_Regression,min,0.85,0.9867491166077739,0.9917355371900827,0.8955223880597015,0.9411764705882353,0.8851028075993799
18,Logistic_Regression,min,0.9,0.9933774834437086,0.990909090909091,0.9646017699115044,0.9775784753363229,0.8851028075993799
19,Logistic_Regression,min,0.9500000000000001,0.9973544973544973,0.9886363636363636,1.0,0.9942857142857143,0.8851028075993799
0,KNN,min,0.0,0.8223282948819942,0.6604901374775852,0.5887053809270112,0.6225352112676056,0.8860515530817219
1,KNN,min,0.05,0.8383810188415911,0.689261744966443,0.5963995354239257,0.6394769613947696,0.8860515530817219
2,KNN,min,0.1,0.8547436652916912,0.7095785440613027,0.604044357469015,0.6525722339675828,0.8860515530817219
3,KNN,min,0.15,0.8691311807830292,0.7256792287467134,0.6115214180206795,0.6637274549098197,0.8860515530817219
4,KNN,min,0.2,0.8851508120649652,0.7628865979381443,0.6151288445552785,0.6810860561435803,0.8860515530817219
5,KNN,min,0.25,0.9011843733427611,0.7844311377245509,0.6334622823984526,0.7009095773140717,0.8860515530817219
6,KNN,min,0.3,0.915719696969697,0.8180515759312321,0.6422947131608548,0.7195967233774417,0.8860515530817219
7,KNN,min,0.35000000000000003,0.9265755659800122,0.829225352112676,0.6416893732970027,0.7235023041474654,0.8860515530817219
8,KNN,min,0.4,0.9385771100309324,0.8507462686567164,0.657331136738056,0.741635687732342,0.8860515530817219
9,KNN,min,0.45,0.9496264160038563,0.870026525198939,0.6721311475409836,0.7583815028901734,0.8860515530817219
10,KNN,min,0.5,0.9575709360912225,0.8774193548387097,0.6903553299492385,0.7727272727272727,0.8860515530817219
11,KNN,min,0.55,0.9672952268709487,0.8961538461538462,0.7350157728706624,0.8076256499133448,0.8860515530817219
12,KNN,min,0.6,0.9751408684123302,0.9263157894736842,0.7426160337552743,0.8243559718969555,0.8860515530817219
