,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
41,median,0.0,0.25,0.9981543509467496,0.9981548858491451,0.9981544256701678,0.9981541936572967,0.8998735388611662
42,median,0.0,0.5,0.9983594230637775,0.9983597914324623,0.9983594837699624,0.9983593806746495,0.8998735388611662
43,median,0.0,0.75,0.9981543509467496,0.9981548350369537,0.9981544256701674,0.9981542709402874,0.8998735388611662
44,median,0.1,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
45,median,0.1,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
46,median,0.1,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
47,median,0.1,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
48,median,0.2,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
49,median,0.2,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
50,median,0.2,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
51,median,0.2,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
52,median,0.3,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
53,median,0.3,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
54,median,0.3,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
55,median,0.3,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
56,median,0.4,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
57,median,0.4,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
58,median,0.4,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
59,median,0.4,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
60,median,0.5,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
61,median,0.5,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
62,median,0.5,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
63,median,0.5,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
64,median,0.6,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
65,median,0.6,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
66,median,0.6,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
67,median,0.6,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
68,median,0.7000000000000001,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
69,median,0.7000000000000001,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
70,median,0.7000000000000001,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
71,median,0.7000000000000001,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
72,median,0.8,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
73,median,0.8,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
74,median,0.8,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
75,median,0.8,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
76,median,0.9,0.0,1.0,1.0,1.0,1.0,0.8998735388611662
77,median,0.9,0.25,1.0,1.0,1.0,1.0,0.8998735388611662
78,median,0.9,0.5,1.0,1.0,1.0,1.0,0.8998735388611662
79,median,0.9,0.75,1.0,1.0,1.0,1.0,0.8998735388611662
