,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
1,SVM_Linear,min,0.05,0.7894521668029436,0.3508828250401284,0.9664014146772767,0.5148374941121056,0.7883665925266775
2,SVM_Linear,min,0.1,0.8025676987808825,0.37373737373737376,0.9710407239819004,0.539738430583501,0.7883665925266775
3,SVM_Linear,min,0.15,0.8134567055060544,0.39346110484780156,0.9821763602251408,0.5618459887308828,0.7883665925266775
4,SVM_Linear,min,0.2,0.8232795242141037,0.4129637178964533,0.9844509232264335,0.581849511774842,0.7883665925266775
5,SVM_Linear,min,0.25,0.8325996892801657,0.4323607427055703,0.9908814589665653,0.6020313942751616,0.7883665925266775
6,SVM_Linear,min,0.3,0.8439450686641697,0.45498783454987834,0.9946808510638298,0.6243739565943238,0.7883665925266775
7,SVM_Linear,min,0.35000000000000003,0.8518075888855692,0.4764175940646529,0.9955703211517165,0.6444444444444445,0.7883665925266775
8,SVM_Linear,min,0.4,0.8588768409127691,0.49623188405797103,0.9965075669383003,0.6625386996904025,0.7883665925266775
9,SVM_Linear,min,0.45,0.863524011299435,0.519650655021834,0.9964114832535885,0.6830668306683066,0.7883665925266775
10,SVM_Linear,min,0.5,0.8657991843076326,0.5373234700739744,0.9962593516209476,0.6981214504150284,0.7883665925266775
11,SVM_Linear,min,0.55,0.8632146709816613,0.5460431654676259,0.9960629921259843,0.7053903345724907,0.7883665925266775
12,SVM_Linear,min,0.6,0.862621359223301,0.5604053000779423,0.9972260748959778,0.717564870259481,0.7883665925266775
13,SVM_Linear,min,0.65,0.8596393897364771,0.5714285714285714,0.9970326409495549,0.7264864864864865,0.7883665925266775
14,SVM_Linear,min,0.7000000000000001,0.8546925566343042,0.5863342566943675,0.9984276729559748,0.7388016288539849,0.7883665925266775
15,SVM_Linear,min,0.75,0.8477669902912621,0.6020304568527919,1.0,0.7515842839036755,0.7883665925266775
16,SVM_Linear,min,0.8,0.8315533980582525,0.609673790776153,1.0,0.7575122292103424,0.7883665925266775
17,SVM_Linear,min,0.85,0.8032362459546926,0.6127388535031847,1.0,0.7598736176935229,0.7883665925266775
18,SVM_Linear,min,0.9,0.7718446601941747,0.6316614420062696,1.0,0.7742555235350624,0.7883665925266775
19,SVM_Linear,min,0.9500000000000001,0.6776699029126214,0.6406926406926406,1.0,0.7810026385224275,0.7883665925266775
0,SVM_Polynomial,min,0.0,0.46203146241988735,0.17254784688995214,0.9948275862068966,0.29408766564729866,0.4036151492159037
1,SVM_Polynomial,min,0.05,0.4526778413736713,0.1773027833307704,0.9956822107081175,0.30100509071922726,0.4036151492159037
2,SVM_Polynomial,min,0.1,0.4474053295932679,0.18331206126356095,0.9973958333333334,0.3097035040431267,0.4036151492159037
3,SVM_Polynomial,min,0.15,0.4440255883024903,0.1907533677033095,0.9991289198606271,0.3203463203463203,0.4036151492159037
4,SVM_Polynomial,min,0.2,0.43803859691710156,0.19774696707105718,0.999124343257443,0.33015046296296297,0.4036151492159037
5,SVM_Polynomial,min,0.25,0.4328068358363542,0.20623414280536426,0.9991220368744512,0.3418957488358119,0.4036151492159037
6,SVM_Polynomial,min,0.3,0.4241919822444167,0.21456953642384105,1.0,0.3533260632497274,0.4036151492159037
7,SVM_Polynomial,min,0.35000000000000003,0.41425156856886763,0.2237180756285884,1.0,0.3656366283772852,0.4036151492159037
8,SVM_Polynomial,min,0.4,0.4067001132869396,0.23433583959899748,1.0,0.37969543147208124,0.4036151492159037
9,SVM_Polynomial,min,0.45,0.4007768361581921,0.247450110864745,1.0,0.3967294703163882,0.4036151492159037
10,SVM_Polynomial,min,0.5,0.390561274033793,0.2609514837494112,1.0,0.4138961524094135,0.4036151492159037
11,SVM_Polynomial,min,0.55,0.37713052858683926,0.27535140562248994,1.0,0.43180476284196023,0.4036151492159037
12,SVM_Polynomial,min,0.6,0.36966019417475726,0.29448519424069547,1.0,0.4549842602308499,0.4036151492159037
13,SVM_Polynomial,min,0.65,0.36726768377253816,0.3137785800240674,1.0,0.47767346004121825,0.4036151492159037
14,SVM_Polynomial,min,0.7000000000000001,0.3744336569579288,0.34094783498124787,1.0,0.5085176709890669,0.4036151492159037
15,SVM_Polynomial,min,0.75,0.3887378640776699,0.37290836653386455,1.0,0.543238537434707,0.4036151492159037
16,SVM_Polynomial,min,0.8,0.4262135922330097,0.4183070866141732,1.0,0.5898681471200555,0.4036151492159037
17,SVM_Polynomial,min,0.85,0.47572815533980584,0.4723127035830619,1.0,0.6415929203539823,0.4036151492159037
18,SVM_Polynomial,min,0.9,0.5155339805825243,0.51364522417154,1.0,0.678686413393432,0.4036151492159037
19,SVM_Polynomial,min,0.9500000000000001,0.5902912621359223,0.5894941634241245,1.0,0.7417380660954712,0.4036151492159037
0,SVM_RBF,min,0.0,0.8824043503592931,0.48126377663482733,0.5646551724137931,0.5196350654502182,0.9229770030244862
1,SVM_RBF,min,0.05,0.8996320523303353,0.4995547640249332,0.5718654434250765,0.5332699619771863,0.9229770030244862
